,Unnamed: 0,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,latitude,longitude,NTA
12484,16091,6143,1,W3,4,3,152440,9216 7 AVENUE,BROOKLYN,-2147483648,49,D,40.61249,-74.02519,Fort Hamilton
12485,16092,1227,36,D1,2,1,70097,770 ST MARKS AVENUE,BROOKLYN,-2147483648,59,C,40.674948,-73.947587,Crown Heights
12486,16095,6162,43,C7,0,2,29910,6914 20 AVENUE,BROOKLYN,-2147483648,1,D,40.613943,-73.988761,Bensonhurst
12487,16096,1239,1,D7,2,1,29171,1469 BEDFORD AVENUE,BROOKLYN,-2147483648,0,F,40.672884,-73.954002,Crown Heights
12488,16097,1240,49,G1,4,1,33822,827 STERLING PLACE,BROOKLYN,-2147483648,0,F,40.672824,-73.950913,Crown Heights
12489,16098,5734,1,W1,0,1,135000,16-10 UTOPIA PARKWAY,QUEENS,-2147483648,91,A,40.783714,-73.795027,Whitestone
12490,16099,3183,37,D3,2,1,67638,78 TROUTMAN STREET,BROOKLYN,-2147483648,70,B,40.698586,-73.930759,Bushwick
12491,16100,3184,62,D3,2,1,31102,989 WILLOUGHBY AVENUE,BROOKLYN,-2147483648,0,F,40.698712,-73.929589,Bushwick
12492,16102,7045,31,D1,2,1,159610,3601 SURF AVENUE,BROOKLYN,-2147483648,32,D,40.573611,-74.00198,Coney Island
12493,16103,7046,1,D7,2,3,229865,2911 WEST 36 STREET,BROOKLYN,-2147483648,0,F,40.574395,-74.001413,Coney Island
12494,16104,7048,15,D1,2,4,246032,2945 WEST 33 STREET,BROOKLYN,-2147483648,0,F,40.573917,-73.998781,Coney Island
12495,16105,7049,51,D1,2,1,66755,3121 SURF AVENUE,BROOKLYN,-2147483648,83,B,40.573073,-73.99787,Coney Island
